Treatment,Time_point,Family,variable,n,mean,sd
DMSO,T0,Actinomycetaceae,Abundance,3,0.015,0.026
Imolope_high,T0,Actinomycetaceae,Abundance,3,0,0
Imolope_low,T0,Actinomycetaceae,Abundance,3,0,0
Lop_high,T0,Actinomycetaceae,Abundance,3,0,0
Lop_low,T0,Actinomycetaceae,Abundance,3,0,0
Saline,T0,Actinomycetaceae,Abundance,3,0,0
DMSO,T24,Actinomycetaceae,Abundance,3,0,0
Imolope_high,T24,Actinomycetaceae,Abundance,3,0,0
Imolope_low,T24,Actinomycetaceae,Abundance,3,0,0
Lop_high,T24,Actinomycetaceae,Abundance,3,0,0
Lop_low,T24,Actinomycetaceae,Abundance,3,0,0
Saline,T24,Actinomycetaceae,Abundance,3,0,0
DMSO,T48,Actinomycetaceae,Abundance,3,0,0
Imolope_high,T48,Actinomycetaceae,Abundance,3,0,0
Imolope_low,T48,Actinomycetaceae,Abundance,3,0,0
Lop_high,T48,Actinomycetaceae,Abundance,3,0,0
Lop_low,T48,Actinomycetaceae,Abundance,3,0,0
Saline,T48,Actinomycetaceae,Abundance,3,0,0
DMSO,T72,Actinomycetaceae,Abundance,3,0,0
Imolope_high,T72,Actinomycetaceae,Abundance,3,0,0
Imolope_low,T72,Actinomycetaceae,Abundance,3,0,0
Lop_high,T72,Actinomycetaceae,Abundance,3,0,0
Lop_low,T72,Actinomycetaceae,Abundance,3,0,0
Saline,T72,Actinomycetaceae,Abundance,3,0,0
DMSO,T0,Akkermansiaceae,Abundance,3,0.008,0.002
Imolope_high,T0,Akkermansiaceae,Abundance,3,0.009,0.008
Imolope_low,T0,Akkermansiaceae,Abundance,3,0,0
Lop_high,T0,Akkermansiaceae,Abundance,3,0.007,0.01
Lop_low,T0,Akkermansiaceae,Abundance,3,0.003,0.005
Saline,T0,Akkermansiaceae,Abundance,3,0.004,0.007
DMSO,T24,Akkermansiaceae,Abundance,3,0,0
Imolope_high,T24,Akkermansiaceae,Abundance,3,0,0
Imolope_low,T24,Akkermansiaceae,Abundance,3,0,0
Lop_high,T24,Akkermansiaceae,Abundance,3,0,0.001
Lop_low,T24,Akkermansiaceae,Abundance,3,0,0.001
Saline,T24,Akkermansiaceae,Abundance,3,0,0
DMSO,T48,Akkermansiaceae,Abundance,3,0.002,0.001
Imolope_high,T48,Akkermansiaceae,Abundance,3,0.001,0.001
Imolope_low,T48,Akkermansiaceae,Abundance,3,0.001,0.001
Lop_high,T48,Akkermansiaceae,Abundance,3,0,0
Lop_low,T48,Akkermansiaceae,Abundance,3,0.001,0.001
Saline,T48,Akkermansiaceae,Abundance,3,0.002,0.002
DMSO,T72,Akkermansiaceae,Abundance,3,0.001,0.001
Imolope_high,T72,Akkermansiaceae,Abundance,3,0.001,0.001
Imolope_low,T72,Akkermansiaceae,Abundance,3,0.001,0
Lop_high,T72,Akkermansiaceae,Abundance,3,0,0
Lop_low,T72,Akkermansiaceae,Abundance,3,0.001,0.001
Saline,T72,Akkermansiaceae,Abundance,3,0.002,0.002
DMSO,T0,Anaeroplasmataceae,Abundance,3,0.024,0.012
Imolope_high,T0,Anaeroplasmataceae,Abundance,3,0.012,0.004
Imolope_low,T0,Anaeroplasmataceae,Abundance,3,0.012,0.001
Lop_high,T0,Anaeroplasmataceae,Abundance,3,0.006,0.008
Lop_low,T0,Anaeroplasmataceae,Abundance,3,0.032,0.021
Saline,T0,Anaeroplasmataceae,Abundance,3,0.013,0.009
DMSO,T24,Anaeroplasmataceae,Abundance,3,0,0.001
Imolope_high,T24,Anaeroplasmataceae,Abundance,3,0,0
Imolope_low,T24,Anaeroplasmataceae,Abundance,3,0,0
Lop_high,T24,Anaeroplasmataceae,Abundance,3,0,0
Lop_low,T24,Anaeroplasmataceae,Abundance,3,0,0
Saline,T24,Anaeroplasmataceae,Abundance,3,0,0
DMSO,T48,Anaeroplasmataceae,Abundance,3,0,0
Imolope_high,T48,Anaeroplasmataceae,Abundance,3,0,0
Imolope_low,T48,Anaeroplasmataceae,Abundance,3,0,0
Lop_high,T48,Anaeroplasmataceae,Abundance,3,0,0
Lop_low,T48,Anaeroplasmataceae,Abundance,3,0,0.001
Saline,T48,Anaeroplasmataceae,Abundance,3,0,0
DMSO,T72,Anaeroplasmataceae,Abundance,3,0,0
Imolope_high,T72,Anaeroplasmataceae,Abundance,3,0,0
Imolope_low,T72,Anaeroplasmataceae,Abundance,3,0,0
Lop_high,T72,Anaeroplasmataceae,Abundance,3,0,0
Lop_low,T72,Anaeroplasmataceae,Abundance,3,0,0
Saline,T72,Anaeroplasmataceae,Abundance,3,0,0
DMSO,T0,Atopobiaceae,Abundance,3,0,0
Imolope_high,T0,Atopobiaceae,Abundance,3,0,0
Imolope_low,T0,Atopobiaceae,Abundance,3,0,0
Lop_high,T0,Atopobiaceae,Abundance,3,0,0
Lop_low,T0,Atopobiaceae,Abundance,3,0,0
Saline,T0,Atopobiaceae,Abundance,3,0.001,0.002
DMSO,T24,Atopobiaceae,Abundance,3,0,0
Imolope_high,T24,Atopobiaceae,Abundance,3,0,0
Imolope_low,T24,Atopobiaceae,Abundance,3,0,0
Lop_high,T24,Atopobiaceae,Abundance,3,0,0.001
Lop_low,T24,Atopobiaceae,Abundance,3,0,0
Saline,T24,Atopobiaceae,Abundance,3,0,0.001
DMSO,T48,Atopobiaceae,Abundance,3,0,0
Imolope_high,T48,Atopobiaceae,Abundance,3,0,0
Imolope_low,T48,Atopobiaceae,Abundance,3,0,0
Lop_high,T48,Atopobiaceae,Abundance,3,0.002,0.002
Lop_low,T48,Atopobiaceae,Abundance,3,0,0
Saline,T48,Atopobiaceae,Abundance,3,0.001,0
DMSO,T72,Atopobiaceae,Abundance,3,0,0
Imolope_high,T72,Atopobiaceae,Abundance,3,0,0
Imolope_low,T72,Atopobiaceae,Abundance,3,0,0
Lop_high,T72,Atopobiaceae,Abundance,3,0.004,0.004
Lop_low,T72,Atopobiaceae,Abundance,3,0,0
Saline,T72,Atopobiaceae,Abundance,3,0.004,0.004
DMSO,T0,Bacillaceae_1,Abundance,3,0.001,0.002
Imolope_high,T0,Bacillaceae_1,Abundance,3,0,0
Imolope_low,T0,Bacillaceae_1,Abundance,3,0,0
Lop_high,T0,Bacillaceae_1,Abundance,3,0.01,0.018
Lop_low,T0,Bacillaceae_1,Abundance,3,0.005,0.006
Saline,T0,Bacillaceae_1,Abundance,3,0,0
DMSO,T24,Bacillaceae_1,Abundance,3,0,0.001
Imolope_high,T24,Bacillaceae_1,Abundance,3,0,0
Imolope_low,T24,Bacillaceae_1,Abundance,3,0.002,0.004
Lop_high,T24,Bacillaceae_1,Abundance,3,0.003,0.006
Lop_low,T24,Bacillaceae_1,Abundance,3,0,0.001
Saline,T24,Bacillaceae_1,Abundance,3,0.001,0.002
DMSO,T48,Bacillaceae_1,Abundance,3,0,0
Imolope_high,T48,Bacillaceae_1,Abundance,3,0,0
Imolope_low,T48,Bacillaceae_1,Abundance,3,0,0
Lop_high,T48,Bacillaceae_1,Abundance,3,0,0
Lop_low,T48,Bacillaceae_1,Abundance,3,0,0
Saline,T48,Bacillaceae_1,Abundance,3,0,0
DMSO,T72,Bacillaceae_1,Abundance,3,0,0
Imolope_high,T72,Bacillaceae_1,Abundance,3,0,0
Imolope_low,T72,Bacillaceae_1,Abundance,3,0,0
Lop_high,T72,Bacillaceae_1,Abundance,3,0,0
Lop_low,T72,Bacillaceae_1,Abundance,3,0,0.001
Saline,T72,Bacillaceae_1,Abundance,3,0,0.001
DMSO,T0,Bacteroidaceae,Abundance,3,1.377,1
Imolope_high,T0,Bacteroidaceae,Abundance,3,0.649,0.175
Imolope_low,T0,Bacteroidaceae,Abundance,3,0.526,0.167
Lop_high,T0,Bacteroidaceae,Abundance,3,0.72,0.395
Lop_low,T0,Bacteroidaceae,Abundance,3,0.739,0.205
Saline,T0,Bacteroidaceae,Abundance,3,0.49,0.012
DMSO,T24,Bacteroidaceae,Abundance,3,11.474,5.42
Imolope_high,T24,Bacteroidaceae,Abundance,3,13.552,4.366
Imolope_low,T24,Bacteroidaceae,Abundance,3,20.929,2.146
Lop_high,T24,Bacteroidaceae,Abundance,3,14.294,3.152
Lop_low,T24,Bacteroidaceae,Abundance,3,17.446,4.841
Saline,T24,Bacteroidaceae,Abundance,3,20.318,2.346
DMSO,T48,Bacteroidaceae,Abundance,3,20.064,0.939
Imolope_high,T48,Bacteroidaceae,Abundance,3,23.979,0.775
Imolope_low,T48,Bacteroidaceae,Abundance,3,24.71,1.985
Lop_high,T48,Bacteroidaceae,Abundance,3,19.644,2.552
Lop_low,T48,Bacteroidaceae,Abundance,3,22.144,1.122
Saline,T48,Bacteroidaceae,Abundance,3,24.575,4.494
DMSO,T72,Bacteroidaceae,Abundance,3,17.612,2.626
Imolope_high,T72,Bacteroidaceae,Abundance,3,23.182,2.095
Imolope_low,T72,Bacteroidaceae,Abundance,3,22.176,1.484
Lop_high,T72,Bacteroidaceae,Abundance,3,18.276,2.488
Lop_low,T72,Bacteroidaceae,Abundance,3,16.718,7.537
Saline,T72,Bacteroidaceae,Abundance,3,18.849,3.55
DMSO,T0,Bifidobacteriaceae,Abundance,3,0.005,0.006
Imolope_high,T0,Bifidobacteriaceae,Abundance,3,0,0
Imolope_low,T0,Bifidobacteriaceae,Abundance,3,0.007,0.005
Lop_high,T0,Bifidobacteriaceae,Abundance,3,0,0
Lop_low,T0,Bifidobacteriaceae,Abundance,3,0,0
Saline,T0,Bifidobacteriaceae,Abundance,3,0.02,0.013
DMSO,T24,Bifidobacteriaceae,Abundance,3,0,0
Imolope_high,T24,Bifidobacteriaceae,Abundance,3,0.002,0.002
Imolope_low,T24,Bifidobacteriaceae,Abundance,3,0,0
Lop_high,T24,Bifidobacteriaceae,Abundance,3,0,0.001
Lop_low,T24,Bifidobacteriaceae,Abundance,3,0,0
Saline,T24,Bifidobacteriaceae,Abundance,3,0,0.001
DMSO,T48,Bifidobacteriaceae,Abundance,3,0.001,0.001
Imolope_high,T48,Bifidobacteriaceae,Abundance,3,0.001,0.001
Imolope_low,T48,Bifidobacteriaceae,Abundance,3,0.001,0.001
Lop_high,T48,Bifidobacteriaceae,Abundance,3,0,0
Lop_low,T48,Bifidobacteriaceae,Abundance,3,0.002,0.001
Saline,T48,Bifidobacteriaceae,Abundance,3,0.002,0.002
DMSO,T72,Bifidobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Bifidobacteriaceae,Abundance,3,0.001,0.001
Imolope_low,T72,Bifidobacteriaceae,Abundance,3,0,0
Lop_high,T72,Bifidobacteriaceae,Abundance,3,0,0.001
Lop_low,T72,Bifidobacteriaceae,Abundance,3,0.002,0.003
Saline,T72,Bifidobacteriaceae,Abundance,3,0,0.001
DMSO,T0,Bradyrhizobiaceae,Abundance,3,0.013,0.017
Imolope_high,T0,Bradyrhizobiaceae,Abundance,3,0.001,0.002
Imolope_low,T0,Bradyrhizobiaceae,Abundance,3,0.006,0.006
Lop_high,T0,Bradyrhizobiaceae,Abundance,3,0.002,0.003
Lop_low,T0,Bradyrhizobiaceae,Abundance,3,0.003,0.005
Saline,T0,Bradyrhizobiaceae,Abundance,3,0.004,0.006
DMSO,T24,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T24,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T24,Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T24,Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T24,Bradyrhizobiaceae,Abundance,3,0,0
Saline,T24,Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T48,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T48,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T48,Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T48,Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T48,Bradyrhizobiaceae,Abundance,3,0,0
Saline,T48,Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T72,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_high,T72,Bradyrhizobiaceae,Abundance,3,0,0
Imolope_low,T72,Bradyrhizobiaceae,Abundance,3,0,0
Lop_high,T72,Bradyrhizobiaceae,Abundance,3,0,0
Lop_low,T72,Bradyrhizobiaceae,Abundance,3,0,0.001
Saline,T72,Bradyrhizobiaceae,Abundance,3,0,0
DMSO,T0,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T0,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T0,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T0,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T0,Carnobacteriaceae,Abundance,3,0,0
Saline,T0,Carnobacteriaceae,Abundance,3,0.001,0.002
DMSO,T24,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T24,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T24,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T24,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T24,Carnobacteriaceae,Abundance,3,0,0
Saline,T24,Carnobacteriaceae,Abundance,3,0,0
DMSO,T48,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T48,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T48,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T48,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T48,Carnobacteriaceae,Abundance,3,0,0
Saline,T48,Carnobacteriaceae,Abundance,3,0,0
DMSO,T72,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T72,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T72,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T72,Carnobacteriaceae,Abundance,3,0,0
Saline,T72,Carnobacteriaceae,Abundance,3,0,0
DMSO,T0,Catabacteriaceae,Abundance,3,0.023,0.032
Imolope_high,T0,Catabacteriaceae,Abundance,3,0.021,0.009
Imolope_low,T0,Catabacteriaceae,Abundance,3,0.006,0.007
Lop_high,T0,Catabacteriaceae,Abundance,3,0.008,0.004
Lop_low,T0,Catabacteriaceae,Abundance,3,0.014,0.009
Saline,T0,Catabacteriaceae,Abundance,3,0.005,0.004
DMSO,T24,Catabacteriaceae,Abundance,3,0,0
Imolope_high,T24,Catabacteriaceae,Abundance,3,0,0
Imolope_low,T24,Catabacteriaceae,Abundance,3,0,0.001
Lop_high,T24,Catabacteriaceae,Abundance,3,0,0
Lop_low,T24,Catabacteriaceae,Abundance,3,0,0
Saline,T24,Catabacteriaceae,Abundance,3,0,0
DMSO,T48,Catabacteriaceae,Abundance,3,0,0
Imolope_high,T48,Catabacteriaceae,Abundance,3,0,0
Imolope_low,T48,Catabacteriaceae,Abundance,3,0,0
Lop_high,T48,Catabacteriaceae,Abundance,3,0,0
Lop_low,T48,Catabacteriaceae,Abundance,3,0,0
Saline,T48,Catabacteriaceae,Abundance,3,0,0
DMSO,T72,Catabacteriaceae,Abundance,3,0,0
Imolope_high,T72,Catabacteriaceae,Abundance,3,0,0
Imolope_low,T72,Catabacteriaceae,Abundance,3,0,0
Lop_high,T72,Catabacteriaceae,Abundance,3,0,0
Lop_low,T72,Catabacteriaceae,Abundance,3,0,0
Saline,T72,Catabacteriaceae,Abundance,3,0,0
DMSO,T0,Chitinophagaceae,Abundance,3,0.005,0.009
Imolope_high,T0,Chitinophagaceae,Abundance,3,0.002,0.004
Imolope_low,T0,Chitinophagaceae,Abundance,3,0.003,0.005
Lop_high,T0,Chitinophagaceae,Abundance,3,0.003,0.005
Lop_low,T0,Chitinophagaceae,Abundance,3,0.001,0.002
Saline,T0,Chitinophagaceae,Abundance,3,0.001,0.002
DMSO,T24,Chitinophagaceae,Abundance,3,0,0
Imolope_high,T24,Chitinophagaceae,Abundance,3,0,0
Imolope_low,T24,Chitinophagaceae,Abundance,3,0,0
Lop_high,T24,Chitinophagaceae,Abundance,3,0,0
Lop_low,T24,Chitinophagaceae,Abundance,3,0,0
Saline,T24,Chitinophagaceae,Abundance,3,0,0
DMSO,T48,Chitinophagaceae,Abundance,3,0,0
Imolope_high,T48,Chitinophagaceae,Abundance,3,0,0
Imolope_low,T48,Chitinophagaceae,Abundance,3,0,0
Lop_high,T48,Chitinophagaceae,Abundance,3,0,0
Lop_low,T48,Chitinophagaceae,Abundance,3,0,0
Saline,T48,Chitinophagaceae,Abundance,3,0,0
DMSO,T72,Chitinophagaceae,Abundance,3,0,0
Imolope_high,T72,Chitinophagaceae,Abundance,3,0,0
Imolope_low,T72,Chitinophagaceae,Abundance,3,0,0
Lop_high,T72,Chitinophagaceae,Abundance,3,0,0
Lop_low,T72,Chitinophagaceae,Abundance,3,0,0
Saline,T72,Chitinophagaceae,Abundance,3,0,0.001
DMSO,T0,Christensenellaceae,Abundance,3,0.021,0.015
Imolope_high,T0,Christensenellaceae,Abundance,3,0.01,0.011
Imolope_low,T0,Christensenellaceae,Abundance,3,0.016,0.007
Lop_high,T0,Christensenellaceae,Abundance,3,0.006,0.01
Lop_low,T0,Christensenellaceae,Abundance,3,0.007,0.007
Saline,T0,Christensenellaceae,Abundance,3,0.017,0.016
DMSO,T24,Christensenellaceae,Abundance,3,0,0
Imolope_high,T24,Christensenellaceae,Abundance,3,0,0
Imolope_low,T24,Christensenellaceae,Abundance,3,0,0
Lop_high,T24,Christensenellaceae,Abundance,3,0,0
Lop_low,T24,Christensenellaceae,Abundance,3,0,0
Saline,T24,Christensenellaceae,Abundance,3,0,0
DMSO,T48,Christensenellaceae,Abundance,3,0,0
Imolope_high,T48,Christensenellaceae,Abundance,3,0,0
Imolope_low,T48,Christensenellaceae,Abundance,3,0,0
Lop_high,T48,Christensenellaceae,Abundance,3,0,0
Lop_low,T48,Christensenellaceae,Abundance,3,0,0
Saline,T48,Christensenellaceae,Abundance,3,0,0
DMSO,T72,Christensenellaceae,Abundance,3,0,0
Imolope_high,T72,Christensenellaceae,Abundance,3,0,0
Imolope_low,T72,Christensenellaceae,Abundance,3,0,0
Lop_high,T72,Christensenellaceae,Abundance,3,0.012,0.021
Lop_low,T72,Christensenellaceae,Abundance,3,0,0.001
Saline,T72,Christensenellaceae,Abundance,3,0,0
DMSO,T0,Chromatiaceae,Abundance,3,0,0
Imolope_high,T0,Chromatiaceae,Abundance,3,0,0
Imolope_low,T0,Chromatiaceae,Abundance,3,2.556,4.426
Lop_high,T0,Chromatiaceae,Abundance,3,0,0
Lop_low,T0,Chromatiaceae,Abundance,3,0,0
Saline,T0,Chromatiaceae,Abundance,3,0,0
DMSO,T24,Chromatiaceae,Abundance,3,0,0
Imolope_high,T24,Chromatiaceae,Abundance,3,0,0
Imolope_low,T24,Chromatiaceae,Abundance,3,0,0
Lop_high,T24,Chromatiaceae,Abundance,3,0,0
Lop_low,T24,Chromatiaceae,Abundance,3,0,0
Saline,T24,Chromatiaceae,Abundance,3,0,0
DMSO,T48,Chromatiaceae,Abundance,3,0,0
Imolope_high,T48,Chromatiaceae,Abundance,3,0,0
Imolope_low,T48,Chromatiaceae,Abundance,3,0,0
Lop_high,T48,Chromatiaceae,Abundance,3,0,0
Lop_low,T48,Chromatiaceae,Abundance,3,0.001,0.001
Saline,T48,Chromatiaceae,Abundance,3,0,0
DMSO,T72,Chromatiaceae,Abundance,3,0,0
Imolope_high,T72,Chromatiaceae,Abundance,3,0,0
Imolope_low,T72,Chromatiaceae,Abundance,3,0,0
Lop_high,T72,Chromatiaceae,Abundance,3,0,0
Lop_low,T72,Chromatiaceae,Abundance,3,0,0
Saline,T72,Chromatiaceae,Abundance,3,0,0
DMSO,T0,Class_Bacilli,Abundance,3,0.111,0.079
Imolope_high,T0,Class_Bacilli,Abundance,3,0.081,0.02
Imolope_low,T0,Class_Bacilli,Abundance,3,0.107,0.034
Lop_high,T0,Class_Bacilli,Abundance,3,0.089,0.032
Lop_low,T0,Class_Bacilli,Abundance,3,0.102,0.037
Saline,T0,Class_Bacilli,Abundance,3,0.074,0.029
DMSO,T24,Class_Bacilli,Abundance,3,0,0
Imolope_high,T24,Class_Bacilli,Abundance,3,0,0
Imolope_low,T24,Class_Bacilli,Abundance,3,0,0
Lop_high,T24,Class_Bacilli,Abundance,3,0,0
Lop_low,T24,Class_Bacilli,Abundance,3,0,0
Saline,T24,Class_Bacilli,Abundance,3,0,0
DMSO,T48,Class_Bacilli,Abundance,3,0,0
Imolope_high,T48,Class_Bacilli,Abundance,3,0,0
Imolope_low,T48,Class_Bacilli,Abundance,3,0,0
Lop_high,T48,Class_Bacilli,Abundance,3,0,0
Lop_low,T48,Class_Bacilli,Abundance,3,0,0.001
Saline,T48,Class_Bacilli,Abundance,3,0,0
DMSO,T72,Class_Bacilli,Abundance,3,0.005,0.002
Imolope_high,T72,Class_Bacilli,Abundance,3,0.004,0.005
Imolope_low,T72,Class_Bacilli,Abundance,3,0.009,0.002
Lop_high,T72,Class_Bacilli,Abundance,3,0.005,0.002
Lop_low,T72,Class_Bacilli,Abundance,3,0.012,0.005
Saline,T72,Class_Bacilli,Abundance,3,0.008,0.008
DMSO,T0,Class_Betaproteobacteria,Abundance,3,0.017,0.017
Imolope_high,T0,Class_Betaproteobacteria,Abundance,3,0.004,0.004
Imolope_low,T0,Class_Betaproteobacteria,Abundance,3,0.012,0.001
Lop_high,T0,Class_Betaproteobacteria,Abundance,3,0.005,0.009
Lop_low,T0,Class_Betaproteobacteria,Abundance,3,0.007,0.005
Saline,T0,Class_Betaproteobacteria,Abundance,3,0.007,0.001
DMSO,T24,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_high,T24,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_low,T24,Class_Betaproteobacteria,Abundance,3,0,0
Lop_high,T24,Class_Betaproteobacteria,Abundance,3,0,0
Lop_low,T24,Class_Betaproteobacteria,Abundance,3,0,0
Saline,T24,Class_Betaproteobacteria,Abundance,3,0,0
DMSO,T48,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_high,T48,Class_Betaproteobacteria,Abundance,3,0,0.001
Imolope_low,T48,Class_Betaproteobacteria,Abundance,3,0,0
Lop_high,T48,Class_Betaproteobacteria,Abundance,3,0,0
Lop_low,T48,Class_Betaproteobacteria,Abundance,3,0,0
Saline,T48,Class_Betaproteobacteria,Abundance,3,0,0
DMSO,T72,Class_Betaproteobacteria,Abundance,3,0,0
Imolope_high,T72,Class_Betaproteobacteria,Abundance,3,0,0.001
Imolope_low,T72,Class_Betaproteobacteria,Abundance,3,0,0
